Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
Drug	ctd:D000069439	Dasatinib	CTD	1.661E-9	1.288E-5	1.171E-6	1.116E-5	11	478	SELENOP,NCAPD3,MIS18BP1,SHCBP1,TPX2,ASPM,CD63,WDR76,NCAPG2,TOP2A,KIF2C
Drug	ctd:C029497	2,3-bis(3'-hydroxybenzyl)butyrolactone	CTD	2.548E-9	1.975E-5	1.644E-6	1.567E-5	14	961	KIF20A,SELENOP,TUBB4B,MIS18BP1,CCNB2,SHCBP1,TPX2,ASPM,KIF14,WDR76,NCAPG2,TOP2A,KIF2C,SPDL1
Drug	ctd:C059765	amphotericin B, deoxycholate drug combination	CTD	2.757E-9	2.137E-5	1.644E-6	1.567E-5	10	379	THY1,CCNB2,CTSC,SHCBP1,TPX2,ASPM,TOP2A,CCNA2,KIF22,KIF2C
Drug	3214_DN	Amethopterin (R,S) [59-05-2]; Down 200; 8.8uM; MCF7; HT_HG-U133A	Broad Institute CMAP Down	3.222E-9	2.498E-5	1.665E-6	1.587E-5	8	189	KIF20A,TPX2,ASPM,KIF14,TOP2A,CCNA2,KIF2C,SPDL1
Drug	5312_DN	Monobenzone [103-16-2]; Down 200; 20uM; MCF7; HT_HG-U133A	Broad Institute CMAP Down	3.222E-9	2.498E-5	1.665E-6	1.587E-5	8	189	KIF20A,CCNB2,CTSC,TPX2,ASPM,KIF14,TOP2A,SPDL1
Drug	ctd:D048789	Phytoestrogens	CTD	3.844E-9	2.980E-5	1.862E-6	1.775E-5	6	67	KIF15,SHCBP1,ASPM,TOP2A,CCNA2,KIF2C
Drug	ctd:D009151	Mustard Gas	CTD	2.124E-8	1.647E-4	9.689E-6	9.236E-5	15	1341	KIF20A,ESCO2,NCAPD3,MIS18BP1,CCNB2,TPX2,ASPM,CD53,LAMA3,CD63,KIF14,TOP2A,CCNA2,KIF22,KIF2C
Drug	904_DN	5109870; Down 200; 25uM; MCF7; HT_HG-U133A_EA	Broad Institute CMAP Down	5.821E-8	4.513E-4	2.507E-5	2.390E-4	7	179	KIF20A,TPX2,ASPM,KIF14,TOP2A,CCNA2,KIF2C
Drug	3317_DN	Ciclopirox ethanolamine [41621-49-2]; Down 200; 15uM; MCF7; HT_HG-U133A	Broad Institute CMAP Down	6.524E-8	5.058E-4	2.626E-5	2.503E-4	7	182	KIF20A,TPX2,ASPM,KIF14,TOP2A,CCNA2,KIF2C
Drug	7389_DN	0173570-0000 [211245-44-2]; Down 200; 10uM; PC3; HT_HG-U133A	Broad Institute CMAP Down	6.774E-8	5.252E-4	2.626E-5	2.503E-4	7	183	KIF20A,CCNB2,TPX2,ASPM,KIF14,CCNA2,KIF2C
Drug	ctd:C005556	propionaldehyde	CTD	9.065E-8	7.028E-4	3.347E-5	3.190E-4	17	1981	KIF20A,ESCO2,SELENOP,NCAPD3,MIS18BP1,THY1,KIF15,CCNB2,SHCBP1,ASPM,KIF14,APOE,TOP2A,PLAC8,CCNA2,KIF22,KIF2C
Drug	6563_DN	PNU-0293363 [326823-19-2]; Down 200; 10uM; PC3; HT_HG-U133A	Broad Institute CMAP Down	1.083E-7	8.395E-4	3.816E-5	3.638E-4	7	196	KIF20A,CCNB2,TPX2,ASPM,KIF14,TOP2A,SPDL1
Drug	ctd:D010894	Piroxicam	CTD	2.181E-7	1.691E-3	7.352E-5	7.009E-4	10	603	KIF20A,NCAPD3,CCNB2,CTSC,SHCBP1,ASPM,KIF14,CCNA2,KIF2C,SPDL1
Drug	ctd:D003999	Dichloroacetic Acid	CTD	2.531E-7	1.962E-3	8.175E-5	7.794E-4	12	967	KIF20A,ESCO2,H2AC15,MIS18BP1,CCNB2,TPX2,LAMA3,TOP2A,CCNA2,KIF22,KIF2C,SPDL1
Drug	ctd:D015655	1-Methyl-4-phenylpyridinium	CTD	3.411E-7	2.645E-3	1.058E-4	1.009E-3	15	1657	ESCO2,KIF15,SLC25A5,CCNB2,CD86,TPX2,ASPM,CD63,KIF14,APOE,PPIA,LSM5,ATP5PD,TOP2A,CCNA2
Drug	ctd:C009407	2,5,2',5'-tetrachlorobiphenyl	CTD	3.630E-7	2.814E-3	1.082E-4	1.032E-3	15	1665	KIF20A,ESCO2,THY1,KIF15,CCNB2,SHCBP1,TPX2,ASPM,APOE,NCAPG2,ATP5PD,TOP2A,CCNA2,KIF2C,SPDL1
Drug	ctd:C006703	benzo(b)fluoranthene	CTD	8.939E-7	6.930E-3	2.567E-4	2.447E-3	14	1539	KIF20A,H2AC15,NCAPD3,TUBB4B,CCNB2,SHCBP1,TPX2,ASPM,LAMA3,NCAPG2,TOP2A,PLAC8,CCNA2,KIF22
Drug	ctd:C058305	phenethyl isothiocyanate	CTD	1.053E-6	8.162E-3	2.915E-4	2.779E-3	8	401	KIF20A,TUBB4B,SHCBP1,ASPM,WDR76,NCAPG2,PLAC8,CCNA2
Drug	ctd:C496197	trans-10,cis-12-conjugated linoleic acid	CTD	1.243E-6	9.634E-3	3.322E-4	3.167E-3	6	176	KIF15,TPX2,ASPM,NCAPG2,TOP2A,KIF2C
Drug	1791_DN	Azaguanine-8 [134-58-7]; Down 200; 26.2uM; PC3; HT_HG-U133A	Broad Institute CMAP Down	1.463E-6	1.134E-2	3.671E-4	3.500E-3	6	181	KIF15,ASPM,KIF14,TOP2A,CCNA2,KIF2C
Drug	ctd:C029790	2,2',3',4,4',5-hexachlorobiphenyl	CTD	1.468E-6	1.138E-2	3.671E-4	3.500E-3	15	1858	KIF20A,ESCO2,THY1,KIF15,CCNB2,PRELP,SHCBP1,TPX2,ASPM,NCAPG2,ATP5PD,TOP2A,CCNA2,KIF2C,SPDL1
Drug	3241_DN	Etoposide [33419-42-0]; Down 200; 6.8uM; MCF7; HT_HG-U133A	Broad Institute CMAP Down	1.661E-6	1.288E-2	4.024E-4	3.836E-3	6	185	KIF20A,TPX2,ASPM,KIF14,CCNA2,KIF2C
Drug	5000_DN	Amethopterin (R,S) [59-05-2]; Down 200; 8.8uM; MCF7; HT_HG-U133A	Broad Institute CMAP Down	1.714E-6	1.329E-2	4.026E-4	3.839E-3	6	186	KIF20A,TPX2,ASPM,KIF14,TOP2A,SPDL1
Drug	5023_DN	Ciclopirox ethanolamine [41621-49-2]; Down 200; 15uM; MCF7; HT_HG-U133A	Broad Institute CMAP Down	1.768E-6	1.371E-2	4.032E-4	3.843E-3	6	187	KIF20A,ASPM,KIF14,TOP2A,KIF2C,SPDL1
Drug	2041_DN	Methotrexate [59-05-2]; Down 200; 8.8uM; HL60; HG-U133A	Broad Institute CMAP Down	1.881E-6	1.458E-2	4.166E-4	3.971E-3	6	189	KIF20A,CCNB2,TPX2,ASPM,KIF14,TOP2A
Drug	622_DN	resveratrol; Down 200; 50uM; MCF7; HG-U133A	Broad Institute CMAP Down	1.939E-6	1.503E-2	4.176E-4	3.981E-3	6	190	KIF20A,TPX2,ASPM,KIF14,TOP2A,CCNA2
Drug	ctd:D007840	Latex	CTD	1.999E-6	1.550E-2	4.189E-4	3.993E-3	6	191	KIF20A,CCNB2,ASPM,KIF14,TOP2A,KIF2C
Drug	7176_DN	Trifluridine [70-00-8]; Down 200; 13.6uM; MCF7; HT_HG-U133A	Broad Institute CMAP Down	2.061E-6	1.598E-2	4.204E-4	4.008E-3	6	192	KIF20A,TPX2,ASPM,KIF14,TOP2A,KIF2C
Drug	ctd:C081766	2,4,4'-trichlorobiphenyl	CTD	2.123E-6	1.646E-2	4.220E-4	4.023E-3	13	1411	KIF20A,ESCO2,THY1,KIF15,CCNB2,SHCBP1,TPX2,ASPM,NCAPG2,TOP2A,CCNA2,KIF2C,SPDL1
Drug	3559_DN	Trifluridine [70-00-8]; Down 200; 13.6uM; MCF7; HT_HG-U133A	Broad Institute CMAP Down	2.254E-6	1.748E-2	4.369E-4	4.165E-3	6	195	KIF20A,TPX2,ASPM,KIF14,TOP2A,CCNA2
Drug	ctd:C009828	2,4,5,2',5'-pentachlorobiphenyl	CTD	2.681E-6	2.079E-2	5.070E-4	4.833E-3	13	1441	KIF20A,ESCO2,THY1,KIF15,CCNB2,SHCBP1,TPX2,ASPM,NCAPG2,TOP2A,CCNA2,KIF2C,SPDL1
Drug	ctd:D011078	Polychlorinated Biphenyls	CTD	3.397E-6	2.633E-2	6.270E-4	5.977E-3	9	633	KIF20A,KIF15,CCNB2,ASPM,KIF14,APOE,PPIA,TOP2A,CCNA2
Drug	ctd:C099555	CD 437	CTD	4.886E-6	3.788E-2	8.810E-4	8.399E-3	6	223	RPL39,ERH,SLC25A5,TOP2A,CCNA2,KIF2C
Drug	ctd:C014024	2,4,5,2',4',5'-hexachlorobiphenyl	CTD	5.574E-6	4.322E-2	9.822E-4	9.363E-3	14	1797	KIF20A,ESCO2,SELENOP,THY1,KIF15,CCNB2,SHCBP1,TPX2,ASPM,NCAPG2,TOP2A,CCNA2,KIF2C,SPDL1
Drug	ctd:C010914	2,4-diaminotoluene	CTD	8.768E-6	6.798E-2	1.505E-3	1.434E-2	6	247	CCNB2,SHCBP1,NCAPG2,TOP2A,CCNA2,KIF2C
Drug	ctd:C025589	ochratoxin A	CTD	8.927E-6	6.921E-2	1.505E-3	1.434E-2	10	911	SELENOP,THY1,CCNB2,CD86,LAMA3,APOE,PPIA,TOP2A,CCNA2,SPDL1
Drug	ctd:D008627	Mercuric Chloride	CTD	1.127E-5	8.735E-2	1.859E-3	1.772E-2	11	1155	ESCO2,SELENOP,TUBB4B,RPL35A,THY1,CCNB2,CD86,CTSC,LAMA3,SLA2,TOP2A
Drug	ctd:C072553	benzyloxycarbonylleucyl-leucyl-leucine aldehyde	CTD	1.200E-5	9.307E-2	1.925E-3	1.835E-2	8	558	KIF20A,H2AC15,THY1,CCNB2,PPIA,TOP2A,PLAC8,CCNA2
Drug	ctd:C410127	PCB 180	CTD	1.217E-5	9.433E-2	1.925E-3	1.835E-2	13	1655	KIF20A,ESCO2,THY1,KIF15,CCNB2,SHCBP1,TPX2,ASPM,NCAPG2,TOP2A,CCNA2,KIF2C,SPDL1
Drug	ctd:C063002	2,3-dimethoxy-1,4-naphthoquinone	CTD	1.262E-5	9.787E-2	1.957E-3	1.866E-2	5	153	CCNB2,TPX2,CCNA2,KIF22,KIF2C
Drug	ctd:C017096	n-butoxyethanol	CTD	1.607E-5	1.246E-1	2.442E-3	2.328E-2	8	581	ESCO2,NCAPD3,THY1,APOE,WDR76,NCAPG2,ITGB7,KIF22
Drug	ctd:C036990	2-amino-3,8-dimethylimidazo(4,5-f)quinoxaline	CTD	1.872E-5	1.451E-1	2.791E-3	2.661E-2	5	166	ESCO2,CCNB2,SHCBP1,TOP2A,CCNA2
Drug	ctd:C088658	zoledronic acid	CTD	1.985E-5	1.539E-1	2.904E-3	2.769E-2	12	1472	KIF20A,ESCO2,TUBB4B,CCNB2,CD86,CTSC,TPX2,ASPM,LAMA3,TOP2A,AK3,CCNA2
Drug	ctd:D024483	Vitamin K 3	CTD	2.340E-5	1.814E-1	3.359E-3	3.203E-2	11	1249	SELENOP,KIF15,SLC25A5,CCNB2,RGCC,TPX2,APOE,TOP2A,CCNA2,KIF2C,SPDL1
Drug	958_DN	resveratrol; Down 200; 10uM; MCF7; HT_HG-U133A_EA	Broad Institute CMAP Down	2.480E-5	1.923E-1	3.496E-3	3.333E-2	5	176	KIF15,ASPM,KIF14,TOP2A,CCNA2
Drug	841_DN	resveratrol; Down 200; 10uM; MCF7; HT_HG-U133A_EA	Broad Institute CMAP Down	2.548E-5	1.976E-1	3.528E-3	3.363E-2	5	177	KIF20A,ASPM,KIF14,TOP2A,CCNA2
Drug	5419_DN	Methotrexate [59-05-2]; Down 200; 8.8uM; MCF7; HT_HG-U133A	Broad Institute CMAP Down	2.837E-5	2.199E-1	3.858E-3	3.678E-2	5	181	KIF20A,TPX2,ASPM,KIF14,TOP2A
Drug	1231_DN	15d-PGJ2; Down 200; 10uM; PC3; HT_HG-U133A	Broad Institute CMAP Down	2.912E-5	2.258E-1	3.893E-3	3.711E-2	5	182	KIF20A,KIF15,TOP2A,CCNA2,KIF2C
Drug	ctd:C026486	1,2,5,6-dibenzanthracene	CTD	3.166E-5	2.455E-1	4.161E-3	3.967E-2	9	837	KIF20A,H2AC15,CCNB2,RGCC,SHCBP1,TPX2,ASPM,CCNA2,KIF22
Drug	3391_DN	Monobenzone [103-16-2]; Down 200; 20uM; MCF7; HT_HG-U133A	Broad Institute CMAP Down	3.232E-5	2.506E-1	4.176E-3	3.981E-2	5	186	KIF20A,TPX2,ASPM,KIF14,APOE
Drug	ctd:D002706	Chlordan	CTD	3.566E-5	2.764E-1	4.532E-3	4.320E-2	4	94	KIF20A,SHCBP1,TPX2,CCNA2
Drug	1599_DN	Amethopterin (R,S) [59-05-2]; Down 200; 8.8uM; HL60; HG-U133A	Broad Institute CMAP Down	3.761E-5	2.916E-1	4.642E-3	4.425E-2	5	192	KIF20A,TUBB4B,ASPM,TOP2A,CCNA2
Drug	1230_DN	thioridazine hydrochloride; Down 200; 10uM; PC3; HT_HG-U133A	Broad Institute CMAP Down	3.855E-5	2.989E-1	4.642E-3	4.425E-2	5	193	KIF20A,ZBED4,LSM5,CCNA2,KIF2C
Drug	ctd:D014284	Triiodothyronine	CTD	3.864E-5	2.995E-1	4.642E-3	4.425E-2	7	477	TUBB4B,CCNB2,PRELP,ASPM,APOE,NCAPG2,CCNA2
Drug	1715_DN	Resveratrol [501-36-0]; Down 200; 17.6uM; HL60; HG-U133A	Broad Institute CMAP Down	3.952E-5	3.064E-1	4.642E-3	4.425E-2	5	194	KIF20A,ASPM,KIF14,TOP2A,CCNA2
Drug	3689_DN	PNU-0251126 [267429-19-6]; Down 200; 10uM; PC3; HT_HG-U133A	Broad Institute CMAP Down	3.952E-5	3.064E-1	4.642E-3	4.425E-2	5	194	KIF20A,KIF14,APOE,TOP2A,KIF2C
Drug	ctd:D004128	Dimethylnitrosamine	CTD	4.094E-5	3.174E-1	4.725E-3	4.505E-2	9	865	SELENOP,CCNB2,CD86,SHCBP1,CD53,CD63,TOP2A,PLAC8,CCNA2
Drug	ctd:C057693	troglitazone	CTD	4.145E-5	3.213E-1	4.725E-3	4.505E-2	11	1329	KIF20A,KIF15,CCNB2,RGCC,TPX2,ASPM,KIF14,APOE,TOP2A,CCNA2,KIF2C
Drug	ctd:D014241	Trichloroethylene	CTD	4.544E-5	3.523E-1	5.105E-3	4.867E-2	13	1874	KIF20A,RPL39,KIF15,CCNB2,SHCBP1,TPX2,ASPM,LAMA3,CD63,ATP5PD,ITGB7,CCNA2,KIF22
Drug	CID009899130	TIQ-A	Stitch	5.701E-5	4.420E-1	6.314E-3	6.019E-2	2	6	CD86,APOE
Drug	ctd:C006551	2-amino-2-methyl-1-propanol	CTD	5.828E-5	4.518E-1	6.364E-3	6.067E-2	6	346	KIF20A,SHCBP1,LAMA3,TOP2A,KIF2C,SPDL1
Drug	ctd:D004918	Erythromycin Estolate	CTD	6.366E-5	4.935E-1	6.855E-3	6.535E-2	4	109	SHCBP1,ASPM,CCNA2,KIF2C
Drug	ctd:D008694	Methamphetamine	CTD	6.697E-5	5.192E-1	7.112E-3	6.780E-2	11	1401	KIF20A,TUBB4B,KIF15,CCNB2,SHCBP1,TPX2,ASPM,PPIA,ATP5PD,TOP2A,CCNA2
Drug	ctd:C024629	dimethyl phthalate	CTD	6.941E-5	5.382E-1	7.273E-3	6.933E-2	8	714	KIF20A,CCNB2,CTSC,RGCC,ASPM,KIF14,ITGB7,SPDL1
Drug	ctd:D003033	Coal Tar	CTD	7.255E-5	5.625E-1	7.500E-3	7.150E-2	6	360	KIF20A,CCNB2,SHCBP1,TPX2,ASPM,CCNA2
Drug	CID000004584	AC1L1IHP	Stitch	7.949E-5	6.163E-1	8.109E-3	7.731E-2	8	728	KIF20A,TUBB4B,KIF15,SLC25A5,CCNB2,TPX2,CCNA2,KIF2C
Drug	CID000003134	6-DMAP	Stitch	8.424E-5	6.531E-1	8.482E-3	8.086E-2	3	43	CCNB2,CCNA2,KIF22
Drug	ctd:D004390	Chlorpyrifos	CTD	9.145E-5	7.090E-1	9.090E-3	8.665E-2	9	960	SELENOP,THY1,CCNB2,CD86,CTSC,ASPM,PPIA,TOP2A,CCNA2
Drug	ctd:D013849	Thimerosal	CTD	9.309E-5	7.217E-1	9.136E-3	8.709E-2	10	1199	ESCO2,TUBB4B,MIS18BP1,THY1,CD86,ASPM,PPIA,LSM5,TOP2A,KIF22
Drug	ctd:C023035	3,4,5,3',4'-pentachlorobiphenyl	CTD	1.068E-4	8.278E-1	1.035E-2	9.865E-2	10	1219	SELENOP,THY1,KIF15,TCN2,PRELP,APOE,WDR76,AK3,CCNA2,KIF22
Drug	ctd:D008094	Lithium	CTD	1.214E-4	9.412E-1	1.162E-2	1.108E-1	5	246	KIF20A,CCNB2,RGCC,PPIA,TOP2A
Drug	ctd:D013750	Tetrachloroethylene	CTD	1.325E-4	1.000E0	1.238E-2	1.180E-1	3	50	CCNB2,TPX2,KIF2C
Drug	ctd:C074702	chromium hexavalent ion	CTD	1.326E-4	1.000E0	1.238E-2	1.180E-1	11	1512	H2AC15,RPL35A,RPL39,ERH,KIF15,CD86,RGCC,PPIA,LSM5,NCAPG2,ITGB7
Drug	ctd:C100187	chloropicrin	CTD	1.440E-4	1.000E0	1.329E-2	1.267E-1	10	1264	TUBB4B,RPL35A,RPL39,ERH,SLC25A5,SHCBP1,LAMA3,CD63,APOE,ATP5PD
Drug	ctd:D014747	Vinblastine	CTD	1.600E-4	1.000E0	1.460E-2	1.392E-1	5	261	KIF20A,TUBB4B,KIF15,CCNB2,TOP2A
Drug	CID000794323	S)-monastrol	Stitch	1.668E-4	1.000E0	1.477E-2	1.408E-1	3	54	TUBB4B,KIF22,KIF2C
Drug	ctd:D060754	Equol	CTD	1.668E-4	1.000E0	1.477E-2	1.408E-1	3	54	CCNB2,CD86,CCNA2
Drug	ctd:C513428	pyrachlostrobin	CTD	1.676E-4	1.000E0	1.477E-2	1.408E-1	8	811	SELENOP,TCN2,CCNB2,PRELP,ASPM,CD53,CD63,APOE
Drug	CID000005056	trans-3,4,5-trihydroxystilbene	Stitch	1.758E-4	1.000E0	1.532E-2	1.460E-1	7	608	GPLD1,TUBB4B,CCNB2,CD86,SLA2,APOE,CCNA2
Drug	ctd:C558013	NSC 689534	CTD	1.848E-4	1.000E0	1.583E-2	1.510E-1	11	1570	KIF20A,NCAPD3,KIF15,CCNB2,TPX2,LAMA3,WDR76,PPIA,TOP2A,CCNA2,KIF2C
Drug	CID006323413	1m0o	Stitch	1.859E-4	1.000E0	1.583E-2	1.510E-1	3	56	CCNB2,ASPM,APOE
Drug	ctd:C049325	1,2-dithiol-3-thione	CTD	1.947E-4	1.000E0	1.641E-2	1.564E-1	8	829	SELENOP,CD86,CD53,LAMA3,CD63,APOE,TOP2A,AK3
Drug	CID000021452	oleth-3-phosphate	Stitch	2.282E-4	1.000E0	1.902E-2	1.813E-1	3	60	THY1,CD53,CD63
Drug	CID000228987	butylphenylmethylpropional	Stitch	2.489E-4	1.000E0	2.053E-2	1.957E-1	2	12	CD86,KIF22
Drug	CID005280961	genistein	Stitch	2.858E-4	1.000E0	2.301E-2	2.194E-1	9	1117	KIF20A,GPLD1,KIF15,CCNB2,LAMA3,SLA2,APOE,ITGB7,CCNA2
Drug	ctd:D004051	Diethylhexyl Phthalate	CTD	2.927E-4	1.000E0	2.301E-2	2.194E-1	11	1655	KIF20A,ESCO2,SELENOP,TUBB4B,THY1,CTSC,APOE,PPIA,ATP5PD,CCNA2,KIF2C
Drug	CID005326843	aloisine A	Stitch	2.938E-4	1.000E0	2.301E-2	2.194E-1	2	13	CCNB2,CCNA2
Drug	CID000446992	AC1L9KC8	Stitch	2.938E-4	1.000E0	2.301E-2	2.194E-1	2	13	GPLD1,CTSC
Drug	CID000061927	Tygon	Stitch	2.938E-4	1.000E0	2.301E-2	2.194E-1	2	13	CTSC,APOE
Drug	CID000521017	HPCs	Stitch	3.072E-4	1.000E0	2.369E-2	2.258E-1	4	164	CD86,CD53,CD63,CCNA2
Drug	ctd:D002509	Cephaloridine	CTD	3.086E-4	1.000E0	2.369E-2	2.258E-1	6	470	SELENOP,CCNB2,CD86,TOP2A,CCNA2,KIF2C
Drug	ctd:C041786	palm oil	CTD	4.077E-4	1.000E0	3.087E-2	2.943E-1	11	1720	KIF20A,SLC25A5,TCN2,CCNB2,PRELP,CTSC,TPX2,CD53,APOE,NCAPG2,PLAC8
Drug	CID006450878	Etiocobalamin	Stitch	4.102E-4	1.000E0	3.087E-2	2.943E-1	4	177	THY1,TCN2,CD86,APOE
Drug	ctd:D014750	Vincristine	CTD	4.331E-4	1.000E0	3.229E-2	3.078E-1	9	1182	ESCO2,TUBB4B,CCNB2,CD86,ASPM,WDR76,ITGB7,TOP2A,AK3
Drug	ctd:D004237	Diuron	CTD	4.413E-4	1.000E0	3.258E-2	3.106E-1	11	1736	KIF20A,SELENOP,THY1,SLC25A5,PRELP,CD86,RGCC,CD63,APOE,PLAC8,AK3
Drug	CID000032249	Ia 4	Stitch	4.504E-4	1.000E0	3.294E-2	3.140E-1	2	16	CD53,CD63
Drug	ctd:D000517	alpha-Chlorohydrin	CTD	4.570E-4	1.000E0	3.311E-2	3.157E-1	8	941	RPL35A,RPL39,KIF15,ZBED4,CTSC,CD53,APOE,PLAC8
Drug	ctd:C064116	S-(1,1,2,2-tetrafluoroethyl)cysteine	CTD	4.765E-4	1.000E0	3.389E-2	3.231E-1	3	77	CCNB2,TOP2A,CCNA2
Drug	ctd:D024505	Tocopherols	CTD	4.765E-4	1.000E0	3.389E-2	3.231E-1	3	77	KIF20A,CCNB2,ASPM
Drug	ctd:D004317	Doxorubicin	CTD	5.130E-4	1.000E0	3.596E-2	3.428E-1	11	1767	KIF20A,KIF15,SLC25A5,CCNB2,LAMA3,APOE,ATP5PD,TOP2A,PLAC8,AK3,CCNA2
Drug	595_DN	resveratrol; Down 200; 50uM; MCF7; HG-U133A	Broad Institute CMAP Down	5.149E-4	1.000E0	3.596E-2	3.428E-1	4	188	CCNB2,ASPM,TOP2A,CCNA2
Drug	2619_DN	Thioguanosine [85-31-4]; Down 200; 12.6uM; MCF7; HT_HG-U133A	Broad Institute CMAP Down	5.358E-4	1.000E0	3.676E-2	3.504E-1	4	190	ASPM,KIF14,CCNA2,SPDL1
Drug	1974_DN	Pyrimethamine [58-14-0]; Down 200; 16uM; HL60; HG-U133A	Broad Institute CMAP Down	5.358E-4	1.000E0	3.676E-2	3.504E-1	4	190	KIF20A,TPX2,ASPM,TOP2A
Drug	6136_DN	Trifluridine [70-00-8]; Down 200; 13.6uM; HL60; HT_HG-U133A	Broad Institute CMAP Down	5.465E-4	1.000E0	3.693E-2	3.521E-1	4	191	KIF20A,ASPM,KIF14,TOP2A
Drug	1937_DN	Azacyclonol [115-46-8]; Down 200; 15uM; PC3; HG-U133A	Broad Institute CMAP Down	5.573E-4	1.000E0	3.693E-2	3.521E-1	4	192	SHCBP1,CD53,CCNA2,SPDL1
Drug	5509_DN	Resveratrol [501-36-0]; Down 200; 17.6uM; MCF7; HT_HG-U133A	Broad Institute CMAP Down	5.573E-4	1.000E0	3.693E-2	3.521E-1	4	192	KIF20A,TPX2,ASPM,KIF14
Drug	2865_DN	Resveratrol [501-36-0]; Down 200; 17.6uM; MCF7; HT_HG-U133A	Broad Institute CMAP Down	5.573E-4	1.000E0	3.693E-2	3.521E-1	4	192	KIF20A,ASPM,KIF14,SPDL1
Drug	CID000217682	VETO	Stitch	5.728E-4	1.000E0	3.756E-2	3.581E-1	2	18	THY1,TCN2
Drug	2009_DN	Verapamyl hydrochloride [152-11-4]; Down 200; 8.2uM; HL60; HG-U133A	Broad Institute CMAP Down	5.794E-4	1.000E0	3.756E-2	3.581E-1	4	194	KIF20A,ASPM,KIF14,TOP2A
Drug	ctd:D011285	Pregnenolone Carbonitrile	CTD	5.814E-4	1.000E0	3.756E-2	3.581E-1	10	1504	KIF20A,ESCO2,CCNB2,SHCBP1,TPX2,LAMA3,TOP2A,CCNA2,KIF22,KIF2C
Drug	573_DN	deferoxamine mesylate salt; Down 200; 100uM; MCF7; HG-U133A	Broad Institute CMAP Down	5.907E-4	1.000E0	3.784E-2	3.607E-1	4	195	KIF20A,ASPM,KIF14,SPDL1
